Company Name,Address,Address2,City,Category Name,URL,Hiring,Jobs URL,Why NYC
"""Document Prep-Program""'",' - ',' - ',' - ',,,,,
"""More than just Figleaves'",' - ',' - ',' - ',,,,,
#Fit4ME',' - ',' - ',' - ',,,,,
'brellaBox',' - ',' - ',' - ',,,,,
'wichcraft',' - ',' - ',' - ',,,,,
(GFree)dom',' - ',' - ',' - ',,,,,
0s&1s Novels',' - ',' - ',' - ',,,,,
1 Knickerbocker',' - ',' - ',' - ',,,,,
1 Main Street Capital',' - ',' - ',' - ',,,,,
10 Speed Labs','1239 Broadway','Penthouse','New York',,,,,
"1000|MUSEUMS, Inc'",' - ',' - ',' - ',,,,,
107 Models',' - ',' - ',' - ',,,,,
10Lines',' - ',' - ',' - ',,,,,
10gen',' - ',' - ',' - ',,,,,
11 Picas',' - ',' - ',' - ',,,,,
144 Investments',' - ',' - ',' - ',,,,,
"1754 & Company, LLC'",' - ',' - ',' - ',,,,,
1800Postcards.com','121 Varick Street','4th Floor','New York',,,,,
1800TAXISTA.COM INC',' - ',' - ',' - ',,,,,
18faubourg by Scharly Designer Studio',' - ',' - ',' - ',,,,,
1938 News','1 Astor Pl',' - ','New York',,,,,
1DocWay',"'483 Broadway, Floor 2, New York, NY 10013'","'483 Broadway, Floor 2'",'New York',,,,,
1NEEDS1 LLC',' - ',' - ',' - ',,,,,
1Stop Energies',' - ',' - ',' - ',,,,,
1World New York',' - ',' - ',' - ',,,,,
1er Nivel S.A.',' - ',' - ',' - ',,,,,
1stTheBest Inc',' - ',' - ',' - ',,,,,
1stdibs.com','51 Astor Place','Third Floor','New York',,,,,
20x200','6 Spring Street',' - ','New York',,,,,
"24eight, LLC'",' - ',' - ',' - ',,,,,
24symbols','42 West 24th Street ',' - ','New York',,,,,
27 Perry',' - ',' - ',' - ',,,,,
29th Street Publishing',' - ',' - ',' - ',,,,,
2Cred',' - ',' - ',' - ',,,,,
2J2L',' - ',' - ',' - ',,,,,
2U (aka 2tor)',"'60 Chelsea Piers, Suite 6020'",' - ','New York',,,,,
2findLocal','2637 E 27th St',' - ','New York',,,,,
2nd Nature Toys',' - ',' - ',' - ',,,,,
"303 Network, Inc.'",' - ',' - ','New York',,,,,
33across',"'229 West 28th Street, 12th Fl'",' - ','New York',,,,,
345 Design',"'49 Greenwich Ave, Suite 2'",' - ','New York',,,,,
360VIDY','50 Greene Avenue',' - ','Brooklyn',,,,,
360i','32 Avenue of the Americas','6th Floor','New York',,,,,
"3FLOZ, LLC'",' - ',' - ',' - ',,,,,
3Floz.com','100 John St Suite 1601',' - ','New York',,,,,
"3P Partners, Inc'",' - ',' - ',' - ',,,,,
3S Pharmacy',' - ',' - ',' - ',,,,,
3Top','55 Broad St.','15th Floor','New York',,,,,
3doo Inc',' - ',' - ',' - ',,,,,
4 Play',' - ',' - ',' - ',,,,,
420 Spirits Inc.',' - ',' - ',' - ',,,,,
42stats',' - ',' - ',' - ',,,,,
4C Insight (The Echo System)','1133 Broadway','Suite 1420','New York',,,,,
4Front Partners Inc.',' - ',' - ',' - ',,,,,
4GQR Ventures LLC dba PhotoQR.com',' - ',' - ',' - ',,,,,
4URSPACE',' - ',' - ',' - ',,,,,
"4f tech, LLC'",' - ',' - ',' - ',,,,,
5 O'clock Records',' - ',' - ',' - ',,,,,
5ivepoints',' - ',' - ',' - ',,,,,
6-ocean',' - ',' - ',' - ',,,,,
"675 Beech, LLC'",' - ',' - ',' - ',,,,,
680 Partners LLC',"'680 5th Avenue, 10th Floor'",' - ','New York',,,,,
72Lux',' - ',' - ',' - ',,,,,
72looks',' - ',' - ',' - ',,,,,
789 Group',' - ',' - ',' - ',,,,,
8 Path Solutions LLC',"'""226 W 78TH ST #2A",,,,,,,
"New York, NY 10024""'",'226 W 78TH ST #2A','New York','http://www.8pathsolutions.com/,,,,,
86shifts.com',' - ',' - ',' - ',,,,,
87AM','61 Broadway',' - ','New York',,,,,
89 Second Productions','1727 2nd Ave Apt 4FN',' - ','New York',,,,,
8coupons','116 W. 23rd St.','5th floor','New York',,,,,
911 Cancer Fund',' - ',' - ',' - ',,,,,
9branding',"'419 lafayette street, 2nd floor'",' - ','New York',,,,,
9mmedia','627 Broadway',' - ','New York',,,,,
"@60"" - The Height of Art'",' - ',' - ',' - ',,,,,
@Gallery',' - ',' - ',' - ',,,,,
A New Life In',' - ',' - ',' - ',,,,,
A Perfume Organic',' - ',' - ',' - ',,,,,
A Tribe Called Love',' - ',' - ',' - ',,,,,
"A V Therapeutics, inc.'",' - ',' - ',' - ',,,,,
A&B American Style',' - ',' - ',' - ',,,,,
A.H. COLLECTIBLES',' - ',' - ',' - ',,,,,
A.R.T.S.Y Magazine',' - ',' - ',' - ',,,,,
A022 Digital','181 York St 5B',' - ','Brooklyn',,,,,
"ABACEO, Inc.'",' - ',' - ',' - ',,,,,
ABLE Social','305 W 87th st',' - ','New York',,,,,
AC Lion','253 West 35th Street','15th Floor','New York',,,,,
AC Rattling',' - ',' - ',' - ',,,,,
ACCOMPANY',' - ',' - ',' - ',,,,,
ACE Group','711 Third Avenue','16th Floor','New York',,,,,
ACE Innovative Networks','277 Broadway','807','New York',,,,,
ACE Portal Group','711 Third Avenue',' - ','New York',,,,,
ACTIVITO',' - ',' - ',' - ',,,,,
AD60','68 Jay Street ','Unit 616','Brooklyn',,,,,
ADANSALON',' - ',' - ',' - ',,,,,
ADORNIA',' - ',' - ',' - ',,,,,
ADRailUSA',' - ',' - ',' - ',,,,,
ADstruc','241 Centre Street','7th Floor','New York',,,,,
AF Productions',' - ',' - ',' - ',,,,,
AG Resume Revisions',' - ',' - ',' - ',,,,,
AGORIQUE',' - ',' - ',' - ',,,,,
AHALife','45 Bond St.',' - ','New York',,,,,
AIDS Ride South Africa',' - ',' - ',' - ',,,,,
"AIQ, Inc.'",' - ',' - ',' - ',,,,,
AIR-BRAIN',' - ',' - ',' - ',,,,,
AJM Inc.',' - ',' - ',' - ',,,,,
AJR Business Solutions Inc',' - ',' - ',' - ',,,,,
Fituoso',' - ',' - ',' - ',,,,,
AKQA','175 Varick St.','10th Floor','New York',,,,,
"ALFY, Inc.'",'589 Eighth Avenue','20th Floor','New York',,,,,
ALTANOVA Energy+Sustainability','11-05 44th Dr',' - ','Long Island City',,,,,
AMA Animal Rescue',' - ',' - ',' - ',,,,,
AOL',"'770 Broadway, New York, NY 10003'",' - ',' - ',,,,,
APDS',' - ',' - ',' - ',,,,,
API Fortress',' - ',' - ',' - ',,,,,
APP à GOGO',' - ',' - ',' - ',,,,,
ARI DEIN LLC',' - ',' - ',' - ',,,,,
ARTSTRAK',' - ',' - ',' - ',,,,,
ARTstor','151 East 61st Street',' - ','New York',,,,,
ASAP Property Management',' - ',' - ',' - ',,,,,
ASM Global Ventures',' - ',' - ',' - ',,,,,
ASPECD Apparel',' - ',' - ',' - ',,,,,
ASTORIA FILMS',' - ',' - ',' - ',,,,,
ATMG (All Things Marvin Gaye)',' - ',' - ',' - ',,,,,
AUDUBON','3960 Broadway',' - ','New York',,,,,
"AW Healthcare Management, Inc.'",' - ',' - ',' - ',,,,,
AaronDFashionGroup Inc',' - ',' - ',' - ',,,,,
Abacus','39 E 20th St','Fl 4','New York',,,,,
AbbeyPost',' - ',' - ',' - ',,,,,
Abilitycapitalcredit',' - ',' - ',' - ',,,,,
Able Made',' - ',' - ',' - ',,,,,
Able Markets',' - ',' - ',' - ',,,,,
About.com',"'1500 Broadway, 6th Floor, New York, NY 10016'",' - ',' - ',,,,,
AbridgeME','457 W 17th St','11','New York',,,,,
Absent Cam',' - ',' - ',' - ',,,,,
