S.No,Tech Company Name,Rank,Employees,Industry,zipcode,Address,NYC Subway Stations,
1,['Bloomberg',1,9000, 'Software',10022,"731 Lexington Avenue, New York, NY 10022",,
2, 'Oath',2,1400, 'Media',10003,"770 Broadway, New York, NY 10003-9562",,
3, 'CA Technologies',3,1230, 'Software',10022,"520 Madison Avenue, 22nd Floor, New York, NY US 10022",,
4, 'Vice Media',4,1217, 'Media',11249,"49 S 2nd St, Brooklyn, NY 11249",,
5, 'Blue Apron',5,890, 'Food',10010,40 West 23rd Street,,
6, 'E*Trade',6,827, 'Fintech',10017,"145 East 42nd St, New York, NY 10017",,
7, 'BuzzFeed',7,730, 'Media',1003,"111 E. 18th Street, 13th Floor, New York, NY 10003",,
8, 'Yext',8,675, 'Web',10010,"1 Madison Avenue, New York, NY 10010",,
9, 'FreshDirect',9,657, 'Food',11101,"23 30 Borden Ave, Long Island City, NY 11101",,
10, 'Etsy',10,622, 'E-commerce',11201,"117 Adams Street, Brooklyn, NY 11201",,
11, 'AppNexus',11,583, 'Web',10010,"28 W. 23rd Street, New York, New York, 10010",,
12, 'Refinery29',12,558, 'Media',10007,"225 Broadway Floor 23 , New York , NY, 10007",,
13, 'Peloton',13,515, 'Fitness',10001,"125 w 25th St, New York , NY",,
14, 'Information Builders',14,485, 'Software',10121,"Two Penn Plaza, New York, NY 10121",,
15, 'Flatiron Health',15,460, 'Healthtech',10010,"200 Fifth Avenue, 8th Floor, New York, NY 10010",,
16, 'Shutterstock',16,450, 'Web',10118,"350 5th Avenue, New York, NY 10118",,
17, 'Squarespace',17,426, 'Web',10014,"8 Clarkson St, New York, NY 10014",,
18, 'Infor',18,420, 'Software',10011,"641 Avenue of the Americas, New York, NY 10011",,
19, 'Group Nine Media',19,420, 'Media',10012,"568 Broadway, New York, NY 10012",,
20, 'Oscar',20,400, 'Healthtech',10012,"295 Lafayette St, New York, NY 10012",,
21,Gilte Groupe,21,400, 'E-commerce',10281,"250 Vesey Street, 21st Floor, New York, NY 10281",,
22, 'Intersection',22,400, 'Marketing',10001,"10 Hudson Yards, New York City, NY 10001",,
23, 'Namely',23,380, 'Software',10007,"195 Broadway, New York , NY 10007",,
24, 'The Business Insider',24,350, 'Media',10011,150 fifth avenue 8th floor new york ny 10011,,
25, 'XO Group Inc',25,350, 'Media',10007,"195 Broadway, New York, NY 10007",,
26, 'MediaMath',26,346, 'Marketing',10007,"4 World Trade Center, 150 Greenwich Street, New York, NY 10007",,
,,,24191,,,,,
,,,Total Prospective,,,,,
,,,Gala Attendies,"24,191",,,,
