geodata_station_name,mta_data_station_name
59TH ST,59 ST
34TH ST - PENN STATION,34 ST-PENN STA
GRAND CENTRAL - 42ND ST,GRD CNTRL-42 ST
HERALD SQ - 34TH ST,34 ST-HERALD SQ
UNION SQ - 14TH ST,14 ST-UNION SQ
23RD ST,23 ST
TIMES SQ - 42ND ST,TIMES SQ-42 ST
42ND ST - PORT AUTHORITY BUS TERM,42 ST-PORT AUTH
FULTON ST,FULTON ST
86TH ST,86 ST
59TH ST - COLUMBUS CIRCLE,59 ST COLUMBUS
125TH ST,125 ST
CANAL ST,CANAL ST
59TH ST,59 ST
96TH ST,96 ST
47TH-50TH STS - ROCKEFELLER CTR,47-50 STS ROCK
14TH ST,14 ST
FLUSHING - MAIN ST,FLUSHING-MAIN
CHAMBERS ST,CHAMBERS ST
WORLD TRADE CENTER,PATH NEW WTC
28TH ST,28 ST
JACKSON HTS - ROOSEVELT AV,JKSN HT-ROOSVLT
50TH ST,50 ST
W 4TH ST - WASHINGTON SQ (LOWER),W 4 ST-WASH SQ
72ND ST,72 ST
ATLANTIC AV - BARCLAY'S CENTER,ATL AV-BARCLAY
42ND ST - BRYANT PK,42 ST-BRYANT PK
WALL ST,WALL ST
LEXINGTON AVE - 53RD ST,LEXINGTON AV/53
7TH AVE,7 AV
